random,por_zona,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen,steffen2
1801,1798,1552,1597,1553,1593,1517
1863,1896,1550,1689,1553,1593,1517
1753,1825,1554,1630,1553,1593,1517
1825,1789,1563,1666,1553,1593,1517
1862,1668,1558,1672,1553,1593,1517
1841,1823,1554,1654,1553,1593,1517
1917,1840,1561,1649,1553,1593,1517
1836,1742,1547,1651,1553,1593,1517
1743,1734,1556,1708,1553,1593,1517
1857,1780,1572,1687,1553,1593,1517
1812,1776,1557,1670,1553,1593,1517
1902,1754,1573,1634,1553,1593,1517
1846,1883,1558,1685,1553,1593,1517
1872,1776,1550,1662,1553,1593,1517
1824,1763,1541,1664,1553,1593,1517
1727,1778,1550,1719,1553,1593,1517
1882,1856,1559,1661,1553,1593,1517
1817,1757,1561,1663,1553,1593,1517
1846,1745,1576,1596,1553,1593,1517
1818,1738,1574,1691,1553,1593,1517
1840,1767,1545,1648,1553,1593,1517
1792,1749,1556,1699,1553,1593,1517
1840,1795,1565,1633,1553,1593,1517
1858,1798,1556,1668,1553,1593,1517
1791,1786,1565,1702,1553,1593,1517
1674,1841,1574,1680,1553,1593,1517
1782,1838,1557,1664,1553,1593,1517
1852,1752,1554,1638,1553,1593,1517
1799,1734,1556,1637,1553,1593,1517
1911,1725,1540,1686,1553,1593,1517
1836,1844,1572,1688,1553,1593,1517
1711,1832,1558,1652,1553,1593,1517
1900,1838,1561,1677,1553,1593,1517
1765,1838,1567,1681,1553,1593,1517
1838,1739,1545,1679,1553,1593,1517
1878,1825,1551,1720,1553,1593,1517
1852,1874,1555,1702,1553,1593,1517
1790,1842,1558,1691,1553,1593,1517
1782,1756,1560,1694,1553,1593,1517
1860,1797,1556,1637,1553,1593,1517
1749,1836,1550,1655,1553,1593,1517
1871,1842,1571,1692,1553,1593,1517
1888,1826,1566,1724,1553,1593,1517
1832,1843,1537,1641,1553,1593,1517
1845,1801,1555,1703,1553,1593,1517
1828,1778,1559,1647,1553,1593,1517
1876,1763,1546,1685,1553,1593,1517
1813,1804,1560,1687,1553,1593,1517
1860,1912,1576,1664,1553,1593,1517
1772,1739,1576,1664,1553,1593,1517
1912,1774,1557,1704,1553,1593,1517
1853,1737,1557,1711,1553,1593,1517
1878,1768,1572,1654,1553,1593,1517
1874,1776,1567,1657,1553,1593,1517
1759,1796,1561,1717,1553,1593,1517
1833,1853,1572,1652,1553,1593,1517
1741,1752,1577,1677,1553,1593,1517
1656,1727,1549,1666,1553,1593,1517
1857,1807,1554,1696,1553,1593,1517
1835,1858,1558,1700,1553,1593,1517
1832,1750,1552,1608,1553,1593,1517
1830,1730,1550,1696,1553,1593,1517
1818,1854,1569,1642,1553,1593,1517
1775,1788,1558,1632,1553,1593,1517
1833,1751,1555,1677,1553,1593,1517
1829,1770,1547,1656,1553,1593,1517
1893,1841,1560,1669,1553,1593,1517
1820,1812,1547,1654,1553,1593,1517
1778,1855,1575,1674,1553,1593,1517
1896,1767,1547,1655,1553,1593,1517
1822,1763,1541,1639,1553,1593,1517
1864,1777,1554,1662,1553,1593,1517
1913,1687,1556,1604,1553,1593,1517
1914,1883,1547,1653,1553,1593,1517
1873,1799,1562,1645,1553,1593,1517
1657,1746,1549,1632,1553,1593,1517
1864,1794,1572,1623,1553,1593,1517
1803,1821,1553,1710,1553,1593,1517
1841,1834,1542,1671,1553,1593,1517
1826,1765,1548,1666,1553,1593,1517
1858,1808,1560,1712,1553,1593,1517
