random,por_zona,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen,steffen2
1894,1765,1571,1687,1553,1593,1517
1783,1769,1564,1663,1553,1593,1517
1724,1816,1571,1684,1553,1593,1517
1887,1710,1546,1647,1553,1593,1517
1752,1762,1557,1661,1553,1593,1517
1818,1785,1556,1633,1553,1593,1517
1881,1793,1557,1685,1553,1593,1517
1812,1725,1578,1671,1553,1593,1517
1757,1856,1542,1700,1553,1593,1517
1858,1751,1566,1683,1553,1593,1517
1810,1866,1563,1687,1553,1593,1517
1758,1795,1559,1695,1553,1593,1517
1836,1758,1558,1625,1553,1593,1517
1763,1792,1576,1634,1553,1593,1517
1868,1814,1543,1701,1553,1593,1517
1818,1849,1564,1615,1553,1593,1517
1886,1899,1548,1662,1553,1593,1517
1740,1849,1564,1699,1553,1593,1517
1796,1741,1556,1633,1553,1593,1517
1755,1898,1546,1625,1553,1593,1517
1835,1870,1553,1672,1553,1593,1517
1788,1791,1549,1682,1553,1593,1517
1850,1815,1571,1632,1553,1593,1517
1895,1754,1554,1691,1553,1593,1517
1837,1770,1560,1614,1553,1593,1517
1767,1804,1566,1718,1553,1593,1517
1808,1838,1553,1655,1553,1593,1517
1800,1791,1561,1628,1553,1593,1517
1810,1842,1564,1693,1553,1593,1517
1863,1815,1547,1691,1553,1593,1517
1817,1789,1564,1667,1553,1593,1517
1810,1910,1553,1718,1553,1593,1517
1826,1822,1565,1692,1553,1593,1517
1780,1835,1564,1607,1553,1593,1517
1776,1847,1572,1695,1553,1593,1517
1819,1786,1563,1696,1553,1593,1517
1857,1862,1558,1685,1553,1593,1517
1843,1804,1570,1693,1553,1593,1517
1812,1801,1573,1679,1553,1593,1517
1771,1856,1566,1679,1553,1593,1517
1770,1825,1572,1700,1553,1593,1517
1784,1805,1575,1639,1553,1593,1517
1723,1814,1573,1664,1553,1593,1517
1880,1779,1543,1616,1553,1593,1517
1856,1782,1551,1687,1553,1593,1517
1843,1831,1550,1620,1553,1593,1517
1832,1741,1547,1702,1553,1593,1517
1829,1859,1541,1671,1553,1593,1517
1793,1846,1545,1626,1553,1593,1517
1834,1753,1575,1661,1553,1593,1517
1818,1748,1571,1629,1553,1593,1517
1824,1801,1561,1689,1553,1593,1517
1788,1711,1566,1656,1553,1593,1517
1848,1818,1539,1689,1553,1593,1517
1723,1849,1548,1670,1553,1593,1517
1847,1815,1572,1643,1553,1593,1517
1842,1836,1564,1694,1553,1593,1517
1862,1761,1542,1640,1553,1593,1517
1772,1806,1542,1643,1553,1593,1517
1922,1870,1543,1629,1553,1593,1517
1789,1820,1557,1680,1553,1593,1517
1800,1719,1561,1671,1553,1593,1517
1813,1821,1550,1717,1553,1593,1517
1744,1861,1563,1675,1553,1593,1517
1806,1837,1573,1652,1553,1593,1517
1798,1814,1568,1664,1553,1593,1517
1853,1900,1574,1686,1553,1593,1517
1850,1817,1573,1679,1553,1593,1517
1820,1838,1573,1663,1553,1593,1517
1867,1819,1540,1632,1553,1593,1517
1883,1827,1563,1640,1553,1593,1517
1739,1820,1557,1676,1553,1593,1517
1825,1757,1561,1655,1553,1593,1517
1847,1757,1554,1685,1553,1593,1517
1740,1843,1545,1653,1553,1593,1517
1789,1878,1564,1638,1553,1593,1517
1854,1756,1564,1614,1553,1593,1517
1780,1926,1538,1679,1553,1593,1517
1686,1778,1551,1659,1553,1593,1517
1812,1896,1536,1628,1553,1593,1517
1839,1738,1554,1684,1553,1593,1517
1853,1783,1558,1688,1553,1593,1517
1847,1786,1539,1637,1553,1593,1517
1894,1732,1556,1669,1553,1593,1517
1766,1740,1560,1692,1553,1593,1517
1769,1812,1562,1675,1553,1593,1517
1924,1808,1564,1675,1553,1593,1517
1780,1778,1559,1678,1553,1593,1517
1769,1760,1554,1685,1553,1593,1517
1850,1852,1559,1592,1553,1593,1517
1820,1732,1551,1690,1553,1593,1517
1807,1773,1558,1679,1553,1593,1517
1799,1778,1562,1694,1553,1593,1517
1860,1873,1563,1664,1553,1593,1517
1831,1733,1574,1652,1553,1593,1517
1826,1788,1572,1710,1553,1593,1517
1817,1833,1563,1725,1553,1593,1517
1808,1762,1574,1643,1553,1593,1517
1934,1857,1547,1675,1553,1593,1517
1735,1798,1571,1675,1553,1593,1517
1756,1865,1549,1688,1553,1593,1517
1790,1650,1548,1703,1553,1593,1517
1873,1784,1555,1616,1553,1593,1517
1836,1804,1558,1721,1553,1593,1517
1865,1723,1578,1689,1553,1593,1517
1774,1810,1556,1673,1553,1593,1517
1804,1792,1576,1668,1553,1593,1517
1775,1770,1535,1700,1553,1593,1517
1748,1870,1557,1658,1553,1593,1517
1851,1742,1561,1673,1553,1593,1517
1798,1808,1540,1648,1553,1593,1517
1843,1805,1550,1655,1553,1593,1517
1772,1832,1574,1621,1553,1593,1517
1865,1754,1570,1665,1553,1593,1517
1870,1787,1572,1653,1553,1593,1517
1777,1789,1565,1683,1553,1593,1517
1881,1756,1555,1688,1553,1593,1517
1791,1803,1559,1638,1553,1593,1517
1836,1795,1572,1673,1553,1593,1517
