random,por_zona,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen,steffen2
2261,2329,2086,2167,2097,2185,1985
2367,2302,2134,2270,2115,2179,1978
2337,2283,2135,2163,2122,2159,1972
2464,2466,2130,2178,2148,2196,2012
2392,2353,2037,2226,2134,2201,2008
2366,2375,2069,2205,2182,2177,1999
2517,2340,2064,2170,2124,2175,1973
2414,2297,2093,2141,2132,2173,1971
2410,2358,2064,2173,2071,2116,1936
2405,2239,2067,2142,2106,2181,1978
2399,2426,2101,2155,2155,2167,1981
2373,2382,2137,2167,2122,2082,1928
2238,2264,2110,2100,2047,2176,1979
2478,2377,2081,2183,2156,2201,1974
2292,2340,2056,2197,2057,2225,2009
2397,2378,2103,2233,2185,2186,2000
2379,2312,2081,2203,2131,2158,1991
2295,2348,2157,2262,2072,2110,1931
2397,2329,2143,2168,2148,2171,2002
2349,2364,2190,2240,2119,2163,1995
2224,2408,2115,2211,2133,2122,1958
2439,2189,2142,2197,2170,2145,1948
2257,2351,2099,2221,2115,2167,1960
2309,2333,2043,2112,2175,2232,1994
2475,2370,2112,2208,2180,2156,2001
2284,2282,2180,2266,2104,2217,1973
2264,2416,2080,2231,2141,2184,1960
2402,2392,2089,2216,2095,2160,1967
2278,2392,2200,2167,2134,2249,2030
2214,2229,2175,2220,2109,2119,1952
2460,2332,2045,2172,2158,2177,1976
2305,2355,2149,2131,2139,2179,1967
2335,2284,2081,2226,2081,2227,2023
2393,2416,2107,2152,2111,2151,1939
2437,2448,2076,2211,2155,2182,1990
2249,2423,2105,2223,2102,2177,1985
2366,2329,2097,2145,2108,2212,1985
2324,2481,2051,2073,2091,2264,2000
2359,2318,2184,2151,2170,2239,2002
2318,2381,2047,2188,2098,2181,2006
2376,2376,2097,2163,2140,2162,1982
2423,2278,2088,2216,2162,2134,1966
2369,2322,2049,2126,2118,2139,1960
2365,2314,2087,2368,2037,2170,1973
2366,2415,2044,2222,2172,2153,1965
2381,2320,2076,2139,2098,2173,1996
2310,2388,2127,2174,2039,2169,1984
2394,2368,2069,2198,2085,2210,1980
2339,2312,2098,2168,2130,2155,1976
2370,2448,2107,2261,2166,2165,1997
2335,2390,2088,2236,2139,2198,1982
2254,2307,2165,2093,2116,2185,2001
2264,2393,2045,2175,2220,2146,1975
2381,2392,2101,2283,2155,2171,1984
2419,2379,2045,2183,2030,2199,1990
2302,2299,2133,2217,2101,2128,1993
2357,2346,2044,2226,2122,2220,1992
2295,2357,2107,2187,2156,2173,1989
2289,2357,2106,2170,2111,2227,2020
2315,2425,2136,2114,2140,2197,1985
2233,2402,2101,2149,2088,2163,1993
2403,2299,2061,2061,2121,2144,1971
2369,2394,2073,2179,2133,2220,2005
2339,2397,2047,2196,2081,2220,1981
2430,2292,2073,2174,2187,2176,1997
2358,2399,2008,2107,2156,2126,1945
2330,2362,2159,2203,2144,2132,1943
2376,2350,2086,2195,2143,2123,1959
2393,2126,2056,2086,2165,2160,1976
2407,2344,2062,2237,2095,2186,1979
2223,2270,2142,2125,2154,2131,1984
2379,2401,2088,2146,2098,2120,1939
2299,2319,2051,2205,2089,2092,1942
2321,2447,2107,2185,2070,2208,1972
2395,2390,2120,2175,2135,2091,1936
2322,2256,2096,2083,2165,2200,2002
2310,2315,2120,2146,2188,2155,1969
2475,2450,2080,2121,2107,2165,1981
2369,2485,2080,2202,2081,2168,2012
2388,2210,2048,2217,2112,2139,1951
2378,2405,2038,2184,2071,2128,1955
2254,2483,2066,2287,2097,2074,1899
2369,2286,2138,2241,2197,2160,1999
2274,2344,2165,2171,2187,2150,1919
2429,2392,2103,2186,2195,2212,1978
2392,2402,2152,2169,2161,2218,1987
2323,2401,2107,2119,2089,2268,2006
2411,2384,2046,2121,2166,2163,1985
2447,2295,2100,2086,2219,2176,2003
2322,2470,2119,2198,2181,2124,1962
2337,2244,2115,2241,2082,2193,1987
2379,2249,2020,2256,2187,2121,1963
2278,2506,2057,2153,2047,2202,1988
2246,2428,2102,2181,2139,2196,1978
2378,2269,2094,2132,2102,2189,2013
2322,2414,2066,2147,2086,2158,1982
2168,2310,2098,2118,2049,2192,1988
2383,2415,2095,2138,2054,2154,1982
2399,2310,2116,2223,2091,2123,1946
2397,2355,2088,2244,2183,2208,2005
2283,2317,2120,2110,2152,2134,1937
2448,2296,2112,2193,2119,2189,1993
2266,2244,2131,2240,2124,2136,1956
2341,2367,2106,2142,2161,2160,1966
2508,2298,2063,2212,2149,2142,1955
2291,2372,2094,2193,2123,2252,2008
2280,2332,2068,2293,2102,2171,1976
2411,2358,2107,2161,2067,2177,1955
2347,2304,2079,2192,2101,2209,2016
2307,2279,2082,2274,2133,2136,1957
2314,2354,2105,2214,2113,2109,1913
2385,2410,2045,2125,2123,2180,1988
2401,2323,2048,2190,2085,2174,1992
2343,2323,2141,2252,2092,2151,1945
2301,2319,2030,2288,2115,2161,1967
2313,2294,2122,2170,2114,2170,1961
2415,2326,2104,2209,2123,2200,1996
2309,2397,2135,2179,2189,2140,1976
2279,2332,1984,2197,2165,2144,1942
2283,2196,2079,2185,2142,2191,1999
2351,2350,2118,2055,2136,2126,1958
2346,2409,2111,2206,2124,2128,1966
2332,2197,2115,2321,2037,2178,1987
2250,2389,2104,2148,2131,2123,1934
2398,2372,2162,2212,2170,2239,2014
2252,2314,1995,2265,2163,2169,1985
2259,2399,2099,2174,2143,2243,2020
2418,2247,2137,2201,2126,2172,1979
2336,2402,2087,2197,2150,2129,1952
2447,2408,2111,2239,2140,2149,1972
2362,2357,2009,2144,2132,2165,1967
2420,2316,2098,2217,2077,2204,1989
2467,2419,2113,2125,2169,2144,1963
2236,2309,2058,2122,2117,2171,2021
2361,2281,2123,2295,2186,2181,1968
2306,2366,2080,2124,2170,2172,2003
2376,2323,2186,2192,2027,2130,1955
