random,por_zona,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen,steffen2
2349,2340,2158,2135,2116,2103,1946
2408,2420,2041,2226,2142,2209,2007
2244,2404,2041,2196,2087,2179,1969
2329,2321,2061,2102,2116,2106,1942
2314,2237,2090,2225,2165,2170,1961
2351,2280,2085,2159,2102,2124,1948
2419,2325,2049,2117,2176,2058,1951
2414,2265,2097,2224,2120,2203,1989
2269,2296,2055,2232,2107,2114,1963
2361,2299,2139,2157,2093,2182,2007
2274,2310,2105,2218,2161,2110,1972
2377,2220,2140,2194,2142,2112,1942
2423,2390,2154,2216,2093,2201,1999
2443,2347,2035,2220,2104,2169,1980
2320,2266,2074,2157,2165,2097,1934
2223,2350,2089,2232,2186,2182,1989
2463,2422,2089,2228,2105,2160,1982
2334,2328,2112,2109,2123,2106,1925
2374,2290,2149,2057,2227,2145,1937
2398,2321,2111,2232,2107,2190,1976
2358,2238,2075,2154,2107,2098,1933
2324,2245,2087,2192,2056,2134,1976
2370,2324,2096,2079,2106,2222,1990
2409,2319,2039,2214,2079,2167,1972
2287,2243,2098,2234,2168,2186,1990
2221,2354,2200,2229,2134,2158,1962
2334,2367,2073,2184,2098,2122,1936
2350,2374,2043,2159,2134,2147,1972
2402,2206,2125,2204,2104,2187,1966
2508,2255,2144,2166,2155,2215,2015
2428,2423,2100,2261,2140,2168,1964
2240,2251,2148,2143,2114,2194,2001
2360,2344,2063,2187,2233,2220,1987
2325,2413,2022,2132,2075,2194,1987
2377,2257,2086,2187,2158,2150,1989
2382,2368,2127,2268,2097,2163,1984
2378,2390,2114,2293,2072,2142,1988
2368,2385,2106,2256,2157,2252,1986
2298,2318,2068,2218,2120,2138,1957
2390,2287,2056,2152,2091,2173,1993
2244,2345,2111,2176,2113,2102,1929
2331,2333,2153,2204,2066,2248,2002
2373,2449,2180,2262,2132,2130,1981
2420,2444,2085,2190,2177,2091,1930
2427,2319,2088,2192,2133,2198,1985
2355,2331,2083,2137,2149,2223,1981
2434,2283,2073,2243,2135,2115,1950
2310,2418,2171,2229,2148,2180,1975
2290,2357,2174,2143,2115,2159,1983
2325,2251,2091,2217,2132,2124,1935
2483,2287,2087,2224,2105,2153,2004
2401,2317,2108,2270,2133,2134,1948
2402,2314,2100,2200,2108,2146,1970
2412,2281,2132,2142,2097,2170,1971
2262,2307,2030,2245,2169,2225,1979
2334,2425,2057,2181,2122,2208,1981
2211,2296,2078,2175,2184,2217,2008
2121,2254,2084,2253,2038,2187,1960
2351,2341,2088,2089,2158,2220,1983
2380,2434,2080,2192,2072,2115,1910
2354,2198,2113,2122,2124,2095,1931
2410,2176,2104,2276,2121,2106,1916
2257,2406,2005,2187,2116,2157,1950
