random,por_zona,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen,steffen2
2621,2642,2407,2356,2465,2517,2168
2703,2796,2393,2511,2465,2517,2168
2527,2743,2382,2401,2465,2517,2168
2652,2683,2400,2473,2465,2517,2168
2705,2541,2404,2482,2465,2517,2168
2638,2690,2421,2446,2465,2517,2168
2772,2755,2386,2438,2465,2517,2168
2655,2614,2378,2452,2465,2517,2168
2541,2625,2390,2515,2465,2517,2168
2708,2653,2418,2497,2465,2517,2168
2643,2676,2397,2474,2465,2517,2168
2753,2602,2425,2402,2465,2517,2168
2670,2777,2410,2489,2465,2517,2168
2715,2661,2399,2457,2465,2517,2168
2646,2630,2381,2471,2465,2517,2168
2537,2657,2399,2547,2465,2517,2168
2716,2749,2411,2456,2465,2517,2168
2644,2636,2431,2452,2465,2517,2168
2689,2618,2446,2361,2465,2517,2168
2601,2647,2432,2480,2465,2517,2168
2656,2663,2403,2431,2465,2517,2168
2623,2625,2390,2497,2465,2517,2168
2643,2650,2414,2410,2465,2517,2168
2688,2689,2435,2460,2465,2517,2168
2595,2653,2414,2518,2465,2517,2168
2438,2753,2432,2493,2465,2517,2168
2591,2754,2403,2465,2465,2517,2168
2683,2641,2382,2445,2465,2517,2168
2627,2610,2396,2444,2465,2517,2168
2772,2580,2368,2490,2465,2517,2168
2667,2750,2418,2504,2465,2517,2168
2492,2711,2404,2432,2465,2517,2168
2737,2749,2431,2478,2465,2517,2168
2559,2718,2428,2500,2465,2517,2168
2684,2627,2364,2492,2465,2517,2168
2733,2716,2400,2554,2465,2517,2168
2700,2771,2389,2518,2465,2517,2168
2603,2709,2410,2486,2465,2517,2168
2609,2637,2418,2507,2465,2517,2168
2702,2703,2396,2417,2465,2517,2168
2539,2712,2399,2435,2465,2517,2168
2735,2724,2411,2487,2465,2517,2168
2719,2741,2421,2582,2465,2517,2168
2657,2763,2353,2421,2465,2517,2168
2700,2699,2383,2525,2465,2517,2168
2665,2669,2411,2442,2465,2517,2168
2699,2684,2365,2477,2465,2517,2168
2626,2698,2418,2491,2465,2517,2168
2700,2836,2446,2471,2465,2517,2168
2560,2594,2446,2477,2465,2517,2168
2773,2659,2403,2532,2465,2517,2168
2701,2585,2397,2536,2465,2517,2168
2712,2664,2418,2452,2465,2517,2168
2686,2651,2428,2461,2465,2517,2168
2551,2702,2386,2533,2465,2517,2168
2681,2728,2418,2471,2465,2517,2168
2560,2655,2453,2478,2465,2517,2168
2418,2598,2386,2473,2465,2517,2168
2679,2692,2382,2515,2465,2517,2168
2663,2732,2410,2504,2465,2517,2168
2632,2634,2407,2400,2465,2517,2168
2669,2577,2399,2521,2465,2517,2168
2655,2772,2442,2437,2465,2517,2168
2612,2685,2410,2415,2465,2517,2168
2649,2605,2389,2478,2465,2517,2168
2651,2658,2378,2460,2465,2517,2168
2730,2728,2424,2461,2465,2517,2168
2657,2733,2372,2440,2465,2517,2168
2597,2776,2439,2484,2465,2517,2168
2775,2664,2372,2453,2465,2517,2168
2644,2657,2375,2413,2465,2517,2168
2701,2671,2382,2463,2465,2517,2168
2779,2550,2396,2393,2465,2517,2168
2775,2752,2378,2421,2465,2517,2168
2722,2681,2432,2428,2465,2517,2168
2431,2609,2392,2406,2465,2517,2168
2670,2712,2418,2397,2465,2517,2168
2624,2725,2375,2529,2465,2517,2168
2684,2727,2388,2463,2465,2517,2168
2657,2628,2385,2479,2465,2517,2168
2689,2723,2418,2543,2465,2517,2168
2749,2662,2411,2497,2465,2517,2168
2599,2663,2407,2470,2465,2517,2168
2507,2734,2411,2482,2465,2517,2168
2715,2589,2371,2435,2465,2517,2168
2547,2636,2397,2489,2465,2517,2168
2628,2648,2396,2428,2465,2517,2168
2718,2675,2397,2483,2465,2517,2168
2613,2607,2460,2475,2465,2517,2168
2579,2761,2382,2504,2465,2517,2168
2687,2653,2421,2475,2465,2517,2168
2610,2779,2400,2497,2465,2517,2168
2568,2683,2417,2508,2465,2517,2168
2664,2606,2404,2403,2465,2517,2168
2558,2661,2446,2402,2465,2517,2168
2720,2690,2389,2511,2465,2517,2168
2661,2770,2407,2368,2465,2517,2168
2750,2814,2379,2457,2465,2517,2168
2559,2754,2407,2497,2465,2517,2168
2618,2589,2435,2428,2465,2517,2168
2558,2815,2371,2393,2465,2517,2168
2690,2789,2414,2476,2465,2517,2168
2616,2697,2386,2501,2465,2517,2168
2708,2730,2411,2409,2465,2517,2168
2759,2637,2382,2480,2465,2517,2168
2674,2673,2424,2391,2465,2517,2168
2561,2716,2421,2540,2465,2517,2168
2636,2724,2375,2435,2465,2517,2168
2628,2682,2386,2405,2465,2517,2168
2596,2733,2362,2494,2465,2517,2168
2678,2706,2378,2480,2465,2517,2168
2633,2683,2407,2453,2465,2517,2168
2619,2824,2375,2540,2465,2517,2168
2648,2710,2414,2487,2465,2517,2168
2566,2725,2407,2387,2465,2517,2168
2607,2750,2418,2508,2465,2517,2168
2650,2686,2400,2521,2465,2517,2168
2688,2765,2410,2489,2465,2517,2168
2714,2692,2404,2500,2465,2517,2168
2631,2668,2425,2492,2465,2517,2168
2557,2783,2421,2480,2465,2517,2168
2580,2718,2418,2504,2465,2517,2168
2584,2701,2439,2413,2465,2517,2168
2506,2684,2425,2459,2465,2517,2168
2705,2660,2344,2399,2465,2517,2168
2672,2658,2406,2497,2465,2517,2168
2677,2734,2393,2415,2465,2517,2168
2666,2622,2372,2518,2465,2517,2168
2663,2789,2375,2463,2465,2517,2168
2621,2752,2364,2418,2465,2517,2168
2644,2629,2439,2456,2465,2517,2168
2631,2612,2411,2412,2465,2517,2168
2633,2686,2386,2511,2465,2517,2168
2578,2566,2421,2448,2465,2517,2168
2684,2723,2367,2511,2465,2517,2168
2523,2752,2379,2474,2465,2517,2168
2678,2712,2418,2447,2465,2517,2168
2664,2724,2407,2501,2465,2517,2168
2726,2628,2376,2444,2465,2517,2168
2584,2686,2376,2441,2465,2517,2168
2774,2796,2383,2412,2465,2517,2168
2602,2750,2403,2499,2465,2517,2168
2634,2592,2386,2475,2465,2517,2168
2647,2738,2399,2533,2465,2517,2168
2542,2796,2400,2491,2465,2517,2168
2625,2737,2425,2438,2465,2517,2168
2577,2723,2435,2471,2465,2517,2168
2663,2827,2432,2490,2465,2517,2168
2693,2729,2425,2492,2465,2517,2168
2657,2747,2425,2452,2465,2517,2168
2687,2731,2374,2421,2465,2517,2168
2738,2705,2400,2432,2465,2517,2168
2549,2721,2397,2465,2465,2517,2168
2653,2641,2386,2453,2465,2517,2168
2702,2654,2382,2477,2465,2517,2168
2565,2731,2364,2439,2465,2517,2168
2605,2766,2407,2418,2465,2517,2168
2685,2677,2407,2400,2465,2517,2168
2574,2850,2360,2486,2465,2517,2168
2464,2681,2406,2442,2465,2517,2168
2634,2814,2346,2399,2465,2517,2168
2694,2613,2382,2482,2465,2517,2168
