random,por_zona,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen,steffen2
2548,2563,2232,2309,2290,2329,2060
2614,2543,2254,2285,2350,2385,2096
2401,2597,2297,2377,2333,2296,2077
2540,2488,2258,2354,2326,2322,2056
2570,2455,2167,2371,2296,2337,2076
2444,2646,2231,2298,2251,2416,2081
2423,2641,2238,2287,2292,2384,2082
2596,2418,2241,2290,2261,2371,2094
2474,2705,2188,2336,2340,2336,2066
2299,2492,2270,2309,2232,2397,2096
2519,2590,2229,2252,2262,2288,2048
2564,2482,2244,2313,2278,2327,2047
2538,2518,2285,2354,2304,2342,2077
2470,2494,2218,2306,2282,2348,2066
2600,2464,2245,2348,2282,2404,2120
2413,2416,2271,2347,2243,2319,2077
2461,2508,2245,2296,2322,2321,2068
2639,2523,2240,2331,2280,2310,2051
2462,2502,2283,2327,2269,2382,2087
2458,2501,2213,2368,2236,2322,2075
2558,2581,2229,2262,2281,2373,2089
2492,2499,2290,2333,2321,2359,2083
2493,2482,2264,2391,2318,2339,2081
2483,2463,2276,2391,2332,2312,2057
2513,2569,2266,2279,2292,2369,2108
2570,2456,2217,2358,2285,2326,2077
2505,2540,2275,2441,2264,2375,2096
2515,2497,2243,2421,2260,2346,2066
2496,2510,2250,2274,2298,2326,2057
2642,2492,2234,2404,2339,2360,2090
2398,2530,2228,2341,2301,2310,2056
2381,2552,2153,2323,2331,2356,2050
2467,2313,2288,2347,2316,2327,2087
2499,2536,2255,2209,2316,2329,2063
2522,2584,2299,2346,2252,2359,2068
2507,2389,2302,2400,2290,2334,2074
2393,2567,2241,2304,2297,2277,2030
2552,2537,2302,2302,2342,2367,2084
2385,2505,2147,2427,2341,2373,2087
2391,2584,2243,2252,2319,2372,2086
2599,2434,2309,2360,2301,2341,2064
2498,2589,2201,2310,2316,2361,2084
2538,2530,2277,2316,2342,2316,2051
2455,2498,2209,2238,2332,2360,2087
2568,2487,2249,2355,2310,2304,2062
2577,2549,2312,2263,2330,2328,2072
2395,2502,2229,2260,2264,2345,2093
2593,2479,2251,2402,2327,2341,2080
2471,2525,2281,2266,2342,2314,2078
2536,2527,2277,2361,2233,2354,2075
