random,por_zona,back_to_front,wilma_por_grupos,wilma_random,wilma_back_to_front,steffen
403.41,290.72,246.27,169.71,165.95,185.51,162.48
401.4,266.88,245.94,166.85,165.75,183.9,164.27
387.3,347.36,243.56,171.59,165.33,185.39,164.61
354.71,320.41,246.09,172.8,167.41,187.0,163.01
356.4,297.13,262.38,168.41,164.56,184.0,164.51
482.43,306.76,272.87,172.62,165.63,178.08,163.56
388.76,281.56,292.48,170.38,164.98,182.16,164.22
426.54,333.87,256.72,173.11,166.16,177.66,162.62
375.09,319.92,258.18,171.25,164.42,182.62,163.78
331.57,282.33,243.92,169.36,164.92,181.28,164.15
361.34,283.35,242.52,173.97,162.98,181.79,164.47
323.88,264.5,247.21,167.22,165.21,184.12,161.3
439.07,282.2,267.86,173.17,163.75,186.85,165.32
410.47,280.85,248.32,169.72,166.26,185.66,163.71
360.42,297.63,253.37,170.5,166.47,184.59,159.48
413.5,313.02,282.54,170.97,164.97,185.44,162.68
407.4,298.79,249.61,171.41,163.82,185.92,162.5
420.01,316.86,264.34,175.07,167.62,182.62,160.96
413.08,291.3,257.96,167.48,164.14,180.78,162.78
326.62,289.77,277.22,171.3,166.64,182.79,161.51
359.6,292.6,260.69,172.09,166.37,185.91,162.95
361.26,264.11,247.25,170.39,165.96,184.23,163.74
339.83,300.86,264.51,172.41,160.87,182.26,161.99
390.59,309.71,246.36,165.73,166.52,185.71,160.73
357.38,321.43,265.5,173.79,166.69,181.51,162.89
368.51,306.96,272.77,169.23,166.08,185.14,157.83
371.9,308.72,275.4,171.99,165.82,183.76,164.03
412.06,317.69,236.22,171.49,166.62,187.65,163.22
438.21,250.85,260.98,169.92,160.64,179.82,161.61
376.35,280.93,259.61,172.36,165.28,179.76,160.49
368.45,296.62,247.74,171.22,168.71,181.47,164.89
323.45,271.39,268.41,165.99,165.64,182.04,160.98
358.97,285.62,264.03,169.04,166.38,181.01,162.41
426.72,277.25,250.43,168.89,167.7,185.01,164.83
392.26,318.38,268.15,170.62,163.26,185.14,162.36
443.67,320.94,261.48,172.97,165.13,184.55,162.02
428.53,294.27,273.9,172.47,164.35,187.54,162.83
420.18,318.37,242.03,172.09,165.03,180.39,163.41
320.46,283.88,275.62,171.73,164.94,183.89,163.34
466.01,279.97,245.87,172.71,165.74,187.78,162.05
358.6,284.14,272.13,169.21,168.15,184.69,164.91
403.44,291.66,248.07,168.69,167.0,184.04,161.7
373.61,288.79,237.99,170.41,166.51,185.11,163.53
348.73,306.63,240.67,171.55,165.36,180.0,164.09
381.97,308.19,246.46,170.79,164.79,185.19,164.96
440.26,333.94,279.36,173.48,168.25,180.66,164.06
279.83,299.0,254.62,168.67,165.5,186.63,163.61
363.34,304.36,260.87,173.16,166.45,179.74,163.98
349.48,311.45,258.18,171.77,161.34,181.63,159.41
356.31,290.61,260.57,170.57,161.88,181.67,163.77
385.22,275.24,253.37,167.47,164.49,183.89,164.91
396.77,277.07,258.1,170.62,166.49,184.01,159.68
388.97,305.1,237.23,170.61,165.79,182.11,165.2
347.91,280.22,263.15,168.12,165.22,179.59,162.98
383.92,291.4,261.42,170.23,161.25,186.83,163.46
418.71,304.29,250.29,168.8,163.24,182.29,161.6
364.88,312.01,270.3,170.99,162.23,182.9,164.69
346.41,293.72,262.37,172.53,166.24,181.55,163.35
387.24,341.5,251.41,170.96,167.76,184.24,163.45
354.56,293.98,245.9,171.98,162.18,184.78,163.23
336.34,276.93,255.53,171.41,166.99,184.06,164.84
346.05,307.71,264.66,172.03,165.99,185.66,164.02
366.75,290.85,257.2,171.17,165.21,182.88,164.76
345.89,251.89,258.02,168.16,168.17,183.04,163.37
403.77,335.03,256.41,170.67,166.41,180.32,164.72
421.33,272.89,259.4,173.68,165.78,181.34,163.32
346.84,316.9,258.68,168.46,166.02,185.46,161.27
430.24,269.97,254.26,170.53,168.96,185.96,162.47
319.63,292.62,259.17,168.95,164.64,181.7,162.03
344.9,302.77,270.41,170.47,163.54,186.88,161.96
375.06,288.12,249.29,166.46,163.64,182.6,164.21
332.74,246.08,243.72,169.49,162.87,183.38,163.43
386.76,269.42,258.9,170.35,163.86,182.26,163.67
353.83,284.25,251.96,171.56,167.14,181.95,164.4
347.48,293.88,246.73,169.93,161.27,181.6,159.92
273.91,300.34,254.81,170.04,161.95,187.62,164.49
336.42,310.09,242.76,172.93,169.56,187.61,164.6
291.64,268.97,260.52,172.8,163.7,185.86,165.1
406.66,329.15,259.56,170.92,166.32,184.2,162.41
306.4,303.85,259.15,171.17,168.05,185.93,163.7
326.13,280.66,263.35,172.22,165.29,184.0,163.08
362.81,305.35,280.94,167.78,164.1,185.44,161.78
349.35,341.96,272.58,168.53,166.46,184.39,162.44
383.18,339.94,257.11,171.89,165.63,186.45,163.2
337.36,295.83,262.84,168.98,163.71,184.07,163.59
356.25,320.22,273.25,170.77,164.89,185.14,161.57
402.95,305.68,252.63,173.92,164.38,187.44,162.14
361.2,296.85,248.91,170.58,165.86,179.66,162.53
431.1,284.23,241.79,167.32,162.28,179.51,162.6
392.12,294.82,265.22,167.59,165.68,181.41,163.92
301.5,312.26,264.89,173.66,163.85,184.71,164.31
364.63,301.01,275.64,172.74,168.62,188.73,163.49
356.96,339.69,253.61,172.72,168.43,180.45,163.34
391.38,345.07,262.63,172.7,164.53,182.32,161.48
355.31,285.13,248.75,170.49,167.19,185.8,165.15
406.84,305.28,259.19,170.45,165.09,178.99,163.66
339.75,346.62,265.48,170.75,166.1,187.17,164.36
342.26,335.6,245.7,170.31,162.18,179.16,163.79
298.12,294.92,254.9,171.89,166.08,183.2,162.14
398.76,363.31,278.83,169.78,166.22,185.78,162.98
335.64,295.54,261.11,170.72,164.83,184.78,163.28
386.18,308.67,249.75,170.27,164.05,182.92,164.97
417.75,288.71,269.7,170.95,163.6,182.77,160.07
366.46,302.9,256.82,170.61,164.82,181.49,162.05
327.15,259.67,266.09,168.65,163.48,180.14,162.59
400.05,297.72,269.14,168.35,165.67,182.38,165.08
382.11,295.5,258.39,170.56,166.43,184.43,163.71
382.81,309.8,264.31,170.92,165.84,188.34,161.51
352.83,308.78,248.96,168.54,166.42,185.35,163.05
404.5,351.48,281.41,167.68,166.81,183.66,164.91
317.86,322.18,255.59,171.49,166.67,179.45,163.5
366.16,266.6,268.57,169.58,165.74,186.65,163.64
305.93,322.76,263.39,171.53,165.48,185.24,163.04
385.54,301.86,256.04,172.45,167.77,182.53,161.39
341.43,290.05,248.34,169.11,168.23,183.57,162.06
337.23,293.05,245.67,171.64,165.65,183.05,165.09
323.36,356.78,238.67,169.47,165.32,181.94,163.52
351.49,283.14,265.51,169.68,161.17,183.52,164.01
374.48,329.55,277.74,170.07,165.25,186.24,163.85
361.7,322.95,252.31,172.16,162.6,182.13,164.48
386.82,314.51,262.1,170.19,165.65,183.18,163.94
407.79,323.61,265.39,170.65,163.89,184.54,165.44
344.55,279.15,243.76,170.27,164.94,179.33,161.88
353.26,281.97,256.2,169.9,164.68,184.05,161.12
328.4,293.38,259.84,169.81,169.24,184.62,162.72
350.66,245.57,258.7,173.46,165.4,186.62,163.49
411.54,299.16,272.89,172.4,165.36,184.28,163.49
397.07,333.26,270.71,171.39,165.15,180.83,162.36
371.8,259.02,267.68,173.79,165.18,182.57,162.5
424.95,285.0,249.89,171.21,168.36,185.69,162.5
320.13,302.77,244.63,169.64,167.24,185.04,163.91
327.02,255.67,261.17,171.47,167.54,182.08,164.69
385.05,273.54,259.24,172.58,165.5,181.21,163.96
383.33,282.69,268.43,170.36,163.97,185.04,164.65
369.68,295.38,258.6,172.79,164.56,185.76,165.03
401.52,322.33,255.61,172.69,167.05,185.47,161.36
414.29,262.65,259.4,170.72,165.72,187.38,162.54
415.32,297.5,251.13,173.34,162.87,183.39,164.73
352.52,274.57,245.37,171.15,163.62,180.79,162.95
363.93,348.25,258.85,173.1,167.51,181.98,163.61
299.28,333.97,245.9,171.13,166.89,182.16,163.11
313.26,302.87,257.18,170.9,164.91,184.05,161.69
378.65,293.62,246.5,170.9,162.58,185.59,163.93
405.04,317.53,255.28,172.84,166.57,184.04,159.68
341.95,290.13,257.68,168.86,166.14,184.89,163.51
331.84,305.12,268.73,170.53,163.33,180.68,165.68
376.54,277.92,258.34,169.15,163.81,181.36,164.34
396.53,294.4,259.2,171.3,163.85,184.11,164.94
467.38,294.59,265.77,171.03,167.22,174.22,159.27
358.34,306.97,264.86,170.57,165.26,181.54,160.22
362.71,288.58,238.79,170.18,165.1,182.87,161.7
396.34,292.44,263.01,168.86,166.02,179.44,163.23
391.9,309.85,257.58,172.08,163.39,184.93,161.97
346.04,333.23,259.84,172.31,166.96,184.48,164.01
362.18,285.54,261.44,171.86,162.71,182.51,163.5
410.66,322.51,238.95,171.98,165.81,185.37,165.24
351.36,297.94,253.51,168.23,166.17,184.07,163.88
326.18,305.08,247.47,172.74,163.99,185.59,164.3
307.55,286.41,246.16,172.04,165.04,183.6,165.14
336.59,297.85,237.03,173.6,167.5,186.42,161.21
452.99,295.11,256.33,167.91,166.27,182.47,162.11
291.39,311.52,240.36,171.2,165.51,185.37,162.93
375.7,293.91,244.7,173.95,167.15,183.42,163.79
376.29,325.69,252.55,171.53,163.46,184.91,164.02
330.04,306.13,267.49,170.79,164.33,184.31,164.66
326.03,289.02,258.41,171.16,167.52,183.8,164.37
382.41,310.04,259.44,173.71,164.49,180.56,163.45
332.74,333.07,258.28,171.51,163.97,183.08,163.91
404.92,268.68,268.02,172.43,164.21,186.52,164.95
353.32,316.57,272.44,170.59,164.42,182.61,164.42
359.83,251.19,250.33,171.34,166.28,183.08,161.42
410.81,315.24,262.49,170.57,166.22,182.04,163.73
459.39,314.89,241.43,174.0,167.75,185.02,162.49
380.58,297.06,260.22,170.12,165.34,179.61,161.76
321.99,275.76,245.35,173.71,163.2,180.88,164.87
384.06,303.59,258.73,172.4,166.38,181.1,162.8
331.22,295.03,264.35,172.93,165.73,186.81,160.71
408.58,249.05,260.94,168.88,162.82,184.75,164.22
455.3,324.52,269.86,172.55,167.4,184.31,164.31
346.53,304.43,228.93,169.02,166.26,182.61,162.84
324.78,271.11,247.51,171.37,167.67,180.82,163.7
433.89,287.75,236.67,172.17,167.87,182.41,162.08
348.8,303.38,255.41,168.95,165.15,181.48,163.76
309.45,293.84,245.17,170.75,163.13,183.63,162.38
401.85,298.76,256.75,170.84,167.63,187.1,163.7
405.26,299.85,261.33,169.62,162.74,184.03,163.49
335.92,322.85,267.1,169.71,165.67,182.73,160.89
353.47,298.35,258.5,173.14,165.01,186.76,162.92
398.29,305.47,257.78,169.72,164.79,185.41,164.84
397.55,333.91,260.59,169.19,167.15,183.04,164.15
